,FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
count,50000,50000,50000,50000,50000,50000,50000.0,48580.0,48580.0,48580.0,48533.0,48414.0,48414.0,50000.0,48414.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000,50000,50000.0,50000,50000.0,50000,50000.0,50000,49675,50000.0,50000.0,50000.0,50000.0,50000,50000,50000.0,50000,50000.0,50000.0,50000.0,50000.0,50000,50000,50000.0,50000,50000.0,48580.0,48580.0,50000,48547.0,48547.0,48533.0,48533.0,50000.0,48414.0,48414.0,48414.0,50000,50000.0,50000.0
unique,,21,369,366,2,2,,,,,,,,,,,,,,,,10,14,,10,,21,,21,5669,,,,,363,52,,52,,,,,360,52,,52,,,,19,,,,,,,,,19,,
top,,Southwest Airlines Co.,ATL,ATL,False,False,,,,,,,,,,,,,,,,AA,WN,,AA,,WN,,WN,N492HA,,,,,"Chicago, IL",TX,,Texas,,,,,"Chicago, IL",CA,,California,,,,0600-0659,,,,,,,,,1200-1259,,
freq,,8898,2335,2269,48541,49873,,,,,,,,,,,,,,,,12612,8898,,12612,,8898,,8898,27,,,,,2629,5098,,5098,,,,,2606,5242,,5242,,,,3522,,,,,,,,,3194,,
mean,2022-04-18 14:00:35.136000,,,,,,1327.01382,1332.5265335529025,16.0526348291478,13.133985179086043,1456.6851420682835,15.816520014871731,110.8138968067088,141.23446,135.6859586070145,797.2113,2022.0,1.74034,4.08688,15.70086,4.01666,,,19832.11912,,2556.78636,,19990.95436,,,2556.91614,12653.3176,1265335.59502,31753.20594,,,27.45624,,54.02176,12668.15408,1266819.24654,31763.96324,,,27.2709,,53.96308,0.21829971181556196,0.21576780568135034,,16.999443837930254,1353.9118380126476,1453.7699503430656,7.883357715368924,1485.79508,7.546123022266286,0.21448341388854464,-0.06407237575907795,,3.66066,0.00364
min,2022-01-01 00:00:00,,,,,,1.0,1.0,0.0,-31.0,1.0,0.0,9.0,5.0,16.0,31.0,2022.0,1.0,1.0,1.0,1.0,,,19393.0,,1.0,,19393.0,,,1.0,10135.0,1013506.0,30070.0,,,1.0,,1.0,10135.0,1013506.0,30070.0,,,1.0,,1.0,0.0,-2.0,,2.0,1.0,1.0,1.0,1.0,-86.0,0.0,-2.0,,1.0,0.0
25%,2022-02-25 00:00:00,,,,,,912.0,915.0,0.0,-5.0,1046.0,0.0,60.0,89.0,83.0,369.0,2022.0,1.0,2.0,8.0,2.0,,,19790.0,,1109.0,,19790.0,,,1109.0,11292.0,1129202.0,30693.0,,,12.0,,34.0,11292.0,1129202.0,30693.0,,,12.0,,33.0,0.0,-1.0,,11.0,931.0,1043.0,4.0,1103.0,-14.0,0.0,-1.0,,2.0,0.0
50%,2022-04-20 00:00:00,,,,,,1320.0,1324.0,0.0,-1.0,1459.0,0.0,94.0,124.0,119.0,644.0,2022.0,2.0,4.0,16.0,4.0,,,19805.0,,2222.0,,19977.0,,,2222.0,12889.0,1288903.0,31453.0,,,27.0,,44.0,12889.0,1288903.0,31454.0,,,26.0,,44.0,0.0,-1.0,,15.0,1337.0,1456.0,6.0,1513.0,-5.0,0.0,-1.0,,3.0,0.0
75%,2022-06-10 00:00:00,,,,,,1730.0,1742.0,10.0,10.0,1912.0,10.0,140.0,171.0,167.0,1034.0,2022.0,2.0,6.0,23.0,6.0,,,19977.0,,3863.0,,20378.0,,,3863.0,14027.0,1402702.0,32467.0,,,42.0,,81.0,14027.0,1402702.0,32547.0,,,42.0,,81.0,0.0,0.0,,19.0,1755.0,1908.0,9.0,1920.0,10.0,0.0,0.0,,5.0,0.0
max,2022-07-31 00:00:00,,,,,,2359.0,2400.0,1677.0,1677.0,2400.0,1666.0,667.0,690.0,689.0,5095.0,2022.0,3.0,7.0,31.0,7.0,,,20436.0,,8811.0,,20500.0,,,8811.0,16869.0,1686901.0,36101.0,,,78.0,,93.0,16869.0,1686901.0,36101.0,,,78.0,,93.0,1.0,12.0,,170.0,2400.0,2400.0,251.0,2359.0,1666.0,1.0,12.0,,11.0,9.0
std,,,,,,,490.34930320924366,505.1766735672411,53.23412449549466,54.22281596511294,542.7232619104401,53.005814848251326,69.62001601729679,71.58509409801974,71.57621642921882,588.3361323940624,0.0,0.704220564121823,1.995668188710335,8.745100616693666,2.010836471139877,,,275.85469777894184,,1741.2555337613796,,375.86564218695213,,,1741.4519394587521,1526.5060840320066,152650.41152801548,1322.170469880395,,,16.67925564927225,,26.607342699264624,1523.1164166444162,152311.44060405146,1321.2225481080525,,,16.717337783799533,,26.648785339463437,0.4130961877911311,2.342994127109404,,9.404715143698748,507.2416840506451,537.5796989418467,6.666810246029411,517.7335184896926,56.222532661222935,0.41046773212767096,2.4806576119335206,,2.3084226087739688,0.11093690341780231
